Pais,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,"16936","21183","18791","17838","17273","14468","15251","16801","18144","23149","18016","23172","27982","25711","26478","26198","27369","28184","29510","30378","33167","33806","28549","31662","36429","37018","34267"
Vietnam,"1145","1201","1938","2072","2721","3546","3779","6178","6467","7727","11618","14106","11771","11631","14859","13432","13905","17936","16101","17052","14229","17717","22920","19718","26097","20655","27568"
Colombia,"13944","12599","16564","13568","11768","9814","10588","10919","11260","9995","9177","9944","10273","10244","10194","10871","10945","11300","11085","7894","7822","7734","7170","9670","10954","12716","12831"
Indonesia,"6903","6171","4604","5662","4605","3947","6440","5755","5598","5115","5358","5243","4286","4795","5456","6744","5280","4149","5741","7907","5489","6159","10722","10882","6175","8379","6545"
India,"1979","1727","1816","2102","2496","2469","3120","2640","3487","3622","4229","3730","3550","3707","3647","2829","3578","3319","3377","3007","4647","5414","5044","5033","5131","5262","6086"
Honduras,"1735","1444","1960","1705","1718","1796","2060","1722","2329","1987","2879","2392","2711","2425","2779","2392","2898","3312","3259","3084","3349","3947","5508","4185","4252","5030","5306"
Peru,"1105","1042","1061","775","1057","1760","1679","1648","1949","2407","2362","2663","2789","2503","3184","2369","3881","2879","3733","3074","3817","4697","4310","3971","2720","2790","3960"
Uganda,"2353","2095","1961","1829","3369","3079","4655","3502","3286","3841","2513","3060","3358","2522","2627","2369","2173","2693","3311","3014","2657","3142","2685","3672","3442","3596","3543"
Ethiopia,"1074","841","734","1167","1475","1276","1838","1980","1917","1818","1982","1376","2055","2229","2491","2435","2936","2604","2852","1851","3324","2675","3203","2870","3117","2985","3001"
Guatemala,"3240","2832","3328","3751","3274","3701","3979","4244","3542","4681","4852","4110","3491","3821","3310","3466","3312","3726","3778","3493","3468","3697","3750","3575","3043","2961","2991"