paisos,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alemania,0,0,0,0,0,0,0,0,0,0,0,0,13.3,13.3
Austria,10.18,17.63,17.63,29.78,29.78,29.78,29.78,29.78,27.78,27.78,27.78,27.78,27.62,27.62
Bélgica,14.66,14.66,18.52,18.52,18.52,11.93,11.93,11.93,11.93,5.4,5.4,5.4,5.4,5.4
Bulgaria,17.37,17.37,17.37,17.37,10.21,10.21,10.21,10.21,9.63,23.16,23.16,23.16,16.1,16.1
Chipre,0,0,0,0,0,0,0,0,0,0,0,3.83,3.83,3.83
Croacia,0,0,0,0,0,0,0,0,0,0,0,6.59,6.59,6.59
Dinamarca,17.17,17.17,16.17,16.17,16.17,16.17,12.42,12.42,12.42,12.42,29.14,29.14,29.14,29.14
Eslovaquia,0,13.33,13.33,13.33,13.33,20.49,20.49,7.29,7.29,7.29,7.29,40.79,40.79,40.79
Eslovenia,1.11,1.11,1.11,11.49,11.49,11.49,9.89,0,0,6.9,6.9,6.9,6.9,6.9
España,0,0,0,0,0,0,1.21,1.21,1.21,1.21,1.12,0.98,0.98,0.98
Estonia,0,0,0,0,0,0,0,0,0,0,8.29,8.29,8.29,8.29
Finlandia,1.62,1.62,4.15,4.15,4.15,4.15,19.44,19.44,19.44,19.44,18.03,18.03,18.03,18.03
Francia,0,0,2.35,2.35,2.35,2.35,2.35,3.98,3.98,3.98,3.98,3.98,10.29,10.29
Grecia,6.2,6.2,12.33,12.33,13.84,13.84,13.84,20.14,20.14,20.14,17.34,17.34,17.34,17.34
Hungría,46.3,43.43,43.43,43.43,43.43,72.16,72.16,72.16,72.16,67.8,67.8,67.8,67.8,73.12
Irlanda,0,0,0,0,0,0,1.62,1.62,1.62,1.62,1.62,9.26,9.26,9.26
Italia,0,0,0,0,0,0,0,0,30.32,30.32,30.32,30.32,30.32,75.31
Letonia,,14.63,14.63,14.63,14.63,8.31,14.75,14.75,14.75,17.57,17.57,17.57,17.57,17.57
Lituania,0,0,0,21.44,21.44,21.44,21.44,0,0,0,0,6.87,6.87,6.87
Luxemburgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Países Bajos,5.77,5.96,5.96,5.96,5.96,15.62,15.62,10.18,10.18,10.18,10.18,10.18,15.07,15.07
Polonia,39.37,39.37,33.56,33.56,33.56,33.56,31.24,31.24,31.24,31.24,55.75,55.75,55.75,55.75
Portugal,6.69,6.69,6.69,6.69,10.46,10.46,5.65,5.65,5.65,5.65,11.25,11.25,11.25,11.25
Reino Unido,3.71,3.71,3.71,3.71,3.71,0.61,0.61,0.61,0.61,0.61,51.12,51.12,44.87,44.87
República Checa,49.14,51.25,51.25,51.25,51.25,38.8,38.8,38.8,36.31,36.31,36.31,36.31,31.72,31.72
Rumanía,0,0,0,0,0,0,0,14.84,14.84,14.84,14.84,0,0,0
Suecia,8.66,6.2,6.2,6.2,6.2,11.47,11.47,11.47,11.47,19.41,19.41,19.41,19.41,19.41